112,112,2015,5,Mean.TemperatureF,44,45,56,67,62,63,66,59,59,74,65,68,61,59,58,63,60,54,59,59,56,64,55,67,70,76,75,75,64,73,63
118,118,,,Mean.Humidity,82,82,61,52,66,59,34,61,82,67,78,66,44,36,47,67,89,79,92,65,44,40,34,40,54,59,71,69,80,66,85
130,130,,,CloudCover,6,4,4,2,5,3,1,4,7,6,6,7,1,1,5,8,3,6,8,4,4,4,0,3,6,6,4,6,4,2,7
131,131,,,Events,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Fog,Rain,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,Rain,Fog,NO RECORD,Rain
134,134,2015,6,Mean.TemperatureF,48,48,52,54,55,60,60,65,71,72,76,72,75,68,59,64,64,67,75,67,68,69,74,76,73,66,63,56,64,68,NA
140,140,,,Mean.Humidity,97,93,82,74,83,73,47,71,81,54,56,60,56,56,84,91,55,59,64,64,91,84,80,52,56,68,76,94,80,81,NA
152,152,,,CloudCover,8,8,7,5,5,5,3,6,6,3,7,6,6,5,8,7,5,5,6,5,8,6,6,2,4,5,6,8,7,4,NA
153,153,,,Events,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Fog,Rain,NO RECORD,NO RECORD,Rain,Rain,Rain,NO RECORD,NO RECORD,NA
156,156,2015,7,Mean.TemperatureF,72,72,70,67,72,74,75,79,66,69,76,81,72,74,75,64,68,71,81,81,76,77,75,74,66,71,77,78,82,83,81
162,162,,,Mean.Humidity,78,60,56,75,67,69,77,68,77,74,49,54,81,72,87,65,72,81,73,62,66,58,52,60,81,79,74,80,66,73,61
174,174,,,CloudCover,6,4,2,6,1,3,5,5,6,6,1,4,6,5,7,3,5,7,6,4,5,3,4,4,5,7,5,3,3,5,2
175,175,,,Events,Rain-Thunderstorm,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,Rain,NO RECORD
178,178,2015,8,Mean.TemperatureF,79,78,79,78,75,74,69,69,68,73,68,77,74,75,80,79,81,79,80,73,75,70,69,72,74,77,74,70,73,79,81
184,184,,,Mean.Humidity,50,52,67,68,58,51,70,68,80,67,94,70,62,57,64,70,64,76,72,88,87,90,97,92,81,71,54,63,59,58,60
196,196,,,CloudCover,3,1,2,5,3,3,2,4,5,3,7,4,2,1,6,3,2,4,3,4,7,7,8,7,6,4,2,2,3,5,2
197,197,,,Events,Rain,NO RECORD,Thunderstorm,Fog-Rain-Hail-Thunderstorm,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,Rain-Thunderstorm,NO RECORD,NO RECORD,Rain-Thunderstorm,NO RECORD,NO RECORD,Fog-Rain-Thunderstorm,Fog,Rain,NO RECORD,Fog,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD
200,200,2015,9,Mean.TemperatureF,74,79,76,67,66,72,80,84,83,71,68,66,65,65,73,73,77,75,71,66,60,62,61,66,61,57,56,67,75,68,NA
206,206,,,Mean.Humidity,65,63,73,78,70,69,55,63,60,81,84,87,94,70,52,62,58,64,74,63,60,76,68,62,72,64,75,75,79,89,NA
218,218,,,CloudCover,1,0,4,6,1,1,1,2,3,7,7,6,8,3,0,1,1,1,4,4,3,6,2,1,5,4,2,4,7,8,NA
219,219,,,Events,NO RECORD,NO RECORD,Rain-Thunderstorm,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Fog-Rain,Fog-Rain,NA
222,222,2015,10,Mean.TemperatureF,57,52,52,54,55,56,62,57,62,55,58,64,64,60,55,56,48,40,40,56,57,63,50,44,56,48,46,54,66,52,45
228,228,,,Mean.Humidity,72,73,72,66,80,71,61,61,75,53,63,65,84,65,55,57,58,46,48,51,76,71,49,71,72,57,62,83,65,41,58
240,240,,,CloudCover,7,8,8,7,6,1,3,2,7,2,4,0,6,3,1,3,4,2,2,6,8,7,2,8,7,2,4,7,7,1,4
241,241,,,Events,Rain,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,Fog-Rain,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Fog,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,NO RECORD
244,244,2015,11,Mean.TemperatureF,55,58,60,55,63,68,60,50,51,49,48,52,53,42,46,50,39,40,49,53,43,43,36,37,37,49,56,51,38,33,NA
250,250,,,Mean.Humidity,73,63,57,69,77,79,48,48,52,67,90,90,65,51,54,42,62,69,83,69,60,80,56,42,63,79,78,80,58,65,NA
262,262,,,CloudCover,6,2,1,0,4,4,6,0,2,7,8,8,3,2,6,3,1,2,8,6,4,8,3,1,1,6,7,8,4,6,NA
263,263,,,Events,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NA
266,266,2015,12,Mean.TemperatureF,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,272,,,Mean.Humidity,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,284,,,CloudCover,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,285,,,Events,Rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
