"","YEAR","MONTH","DATE","SITE","TRANSECT","QUAD","SIDE","FRONDS","HLD_DIAM","OBS_CODE","NOTES"
"98",2000,9,"2000-09-08","CARP",1,20,"",9,25,3,NA
"99",2000,9,"2000-09-08","CARP",1,20,"",12,15,2,NA
"100",2000,9,"2000-09-08","CARP",1,20,"",15,15,2,NA
"101",2000,9,"2000-09-08","CARP",1,20,"",18,20,2,NA
"102",2000,9,"2000-09-08","CARP",1,20,"",19,20,3,NA
"103",2000,9,"2000-09-08","CARP",1,20,"",25,15,2,NA
"104",2000,9,"2000-09-08","CARP",1,20,"",6,10,2,NA
"105",2000,9,"2000-09-08","CARP",1,20,"",6,15,2,NA
"106",2000,9,"2000-09-08","CARP",1,20,"",6,15,2,NA
"107",2000,9,"2000-09-08","CARP",1,40,"",4,10,2,NA
"108",2000,9,"2000-09-08","CARP",1,40,"",5,15,2,NA
"109",2000,9,"2000-09-08","CARP",1,40,"",6,10,2,NA
"110",2000,9,"2000-09-08","CARP",1,40,"",6,15,2,NA
"111",2000,9,"2000-09-08","CARP",1,40,"",6,17,2,NA
"112",2000,9,"2000-09-08","CARP",1,40,"",7,10,2,NA
"113",2000,9,"2000-09-08","CARP",1,40,"",7,20,2,NA
"114",2000,9,"2000-09-08","CARP",1,40,"",8,8,2,NA
"115",2000,9,"2000-09-08","CARP",1,40,"",8,10,2,NA
"116",2000,9,"2000-09-08","CARP",1,40,"",10,15,2,NA
"117",2000,9,"2000-09-08","CARP",1,40,"",11,20,2,NA
"118",2000,9,"2000-09-08","CARP",1,40,"",12,15,2,NA
"119",2000,9,"2000-09-08","CARP",1,40,"",14,15,2,NA
"120",2000,9,"2000-09-08","CARP",1,40,"",14,20,2,NA
"121",2000,9,"2000-09-08","CARP",1,40,"",16,25,2,NA
"122",2000,9,"2000-09-08","CARP",1,40,"",19,17,2,NA
"123",2000,9,"2000-09-08","CARP",1,40,"",23,30,2,NA
"124",2000,9,"2000-09-08","CARP",1,40,"",27,15,2,NA
"125",2000,9,"2000-09-08","CARP",1,40,"",5,15,2,NA
"126",2000,9,"2000-09-08","CARP",1,40,"",5,15,2,NA
"127",2000,9,"2000-09-08","CARP",1,40,"",6,10,2,NA
"128",2000,9,"2000-09-08","CARP",1,40,"",10,15,2,NA
"129",2000,9,"2000-09-08","CARP",1,40,"",11,20,2,NA
"130",2000,9,"2000-09-08","CARP",2,20,"",22,40,2,NA
"131",2000,9,"2000-09-08","CARP",2,40,"",4,15,2,NA
"132",2000,9,"2000-09-08","CARP",2,40,"",8,22,2,NA
"133",2000,9,"2000-09-08","CARP",3,20,"",0,0,2,"NO KELP"
"134",2000,9,"2000-09-08","CARP",3,40,"",0,0,2,"NO KELP"
"135",2000,9,"2000-09-08","CARP",4,20,"",0,0,2,"NO KELP"
"136",2000,9,"2000-09-08","CARP",4,40,"",0,0,2,"NO KELP"
"137",2000,9,"2000-09-08","CARP",5,20,"",0,0,2,"NO KELP"
"138",2000,9,"2000-09-08","CARP",5,40,"",0,0,2,"NO KELP"
"139",2000,9,"2000-09-08","CARP",6,20,"",0,0,2,"NO KELP"
"140",2000,9,"2000-09-08","CARP",6,40,"",0,0,2,"NO KELP"
"141",2000,9,"2000-09-08","CARP",7,20,"",0,0,2,"NO KELP"
"142",2000,9,"2000-09-08","CARP",7,40,"",0,0,2,"NO KELP"
"143",2000,9,"2000-09-08","CARP",8,20,"",0,0,2,"NO KELP"
"144",2000,9,"2000-09-08","CARP",8,40,"",0,0,2,"NO KELP"
"145",2000,9,"2000-09-18","NAPL",1,20,"",0,0,6,"NO KELP"
"146",2000,9,"2000-09-18","NAPL",1,40,"",0,0,6,"NO KELP"
"147",2000,9,"2000-09-18","NAPL",2,20,"",0,0,6,"NO KELP"
"148",2000,9,"2000-09-18","NAPL",2,40,"",0,0,6,"NO KELP"
"149",2000,9,"2000-09-18","NAPL",3,20,"",0,0,6,"NO KELP"
"150",2000,9,"2000-09-18","NAPL",3,40,"",0,0,6,"NO KELP"
"151",2000,9,"2000-09-18","NAPL",4,20,"",0,0,2,"NO KELP"
"152",2000,9,"2000-09-18","NAPL",4,40,"",0,0,2,"NO KELP"
"153",2000,9,"2000-09-18","NAPL",5,20,"",0,0,6,"NO KELP"
"154",2000,9,"2000-09-18","NAPL",5,40,"",0,0,6,"NO KELP"
"155",2000,9,"2000-09-22","NAPL",6,20,"",4,11,2,NA
"156",2000,9,"2000-09-22","NAPL",6,20,"",4,12,2,NA
"157",2000,9,"2000-09-22","NAPL",6,20,"",6,12,2,NA
"158",2000,9,"2000-09-22","NAPL",6,20,"",7,13,2,NA
"159",2000,9,"2000-09-22","NAPL",6,20,"",15,18,2,NA
"160",2000,9,"2000-09-18","NAPL",6,40,"",0,0,2,"NO KELP"
"161",2000,9,"2000-09-18","NAPL",7,20,"",0,0,2,"NO KELP"
"162",2000,9,"2000-09-18","NAPL",7,40,"",0,0,2,"NO KELP"
"163",2000,9,"2000-09-18","NAPL",8,20,"",0,0,2,"NO KELP"
"164",2000,9,"2000-09-18","NAPL",8,40,"",0,0,2,"NO KELP"
"165",2001,8,"2001-08-22","ABUR",1,20,"I",22,37,4,NA
"166",2001,8,"2001-08-22","ABUR",1,20,"I",41,53,4,NA
"167",2001,8,"2001-08-22","ABUR",1,20,"I",52,49,4,NA
"168",2001,8,"2001-08-22","ABUR",1,20,"I",57,67,4,NA
"169",2001,8,"2001-08-22","ABUR",1,20,"I",164,105,4,NA
"170",2001,8,"2001-08-22","ABUR",1,20,"I",247,155,4,NA
"172",2001,8,"2001-08-22","ABUR",1,20,"O",14,29,4,NA
"173",2001,8,"2001-08-22","ABUR",1,20,"O",29,43,4,NA
"174",2001,8,"2001-08-22","ABUR",1,20,"O",37,39,4,NA
"175",2001,8,"2001-08-22","ABUR",1,20,"O",40,40,4,NA
"176",2001,8,"2001-08-22","ABUR",1,40,"I",14,35,4,NA
"177",2001,8,"2001-08-22","ABUR",1,40,"I",17,20,4,NA
"178",2001,8,"2001-08-22","ABUR",1,40,"I",22,25,4,NA
"179",2001,8,"2001-08-22","ABUR",1,40,"I",28,36,4,NA
"180",2001,8,"2001-08-22","ABUR",1,40,"I",28,45,4,NA
"181",2001,8,"2001-08-22","ABUR",1,40,"I",30,54,4,NA
"182",2001,8,"2001-08-22","ABUR",1,40,"I",31,87,4,NA
"183",2001,8,"2001-08-22","ABUR",1,40,"I",47,27,4,NA
"184",2001,8,"2001-08-22","ABUR",1,40,"I",87,61,4,NA
"185",2001,8,"2001-08-22","ABUR",1,40,"O",27,56,4,NA
"186",2001,8,"2001-08-22","ABUR",1,40,"O",30,46,4,NA
"187",2001,8,"2001-08-22","ABUR",1,40,"O",44,73,4,NA
"188",2001,8,"2001-08-22","ABUR",2,20,"I",0,0,4,"NO KELP"
"189",2001,8,"2001-08-22","ABUR",2,40,"I",0,0,4,"NO KELP"
"191",2001,8,"2001-08-17","AHND",1,40,"I",0,0,5,"NO KELP"
"193",2001,8,"2001-08-17","AHND",2,20,"I",4,25,5,NA
"194",2001,8,"2001-08-17","AHND",2,20,"I",4,30,5,NA
"201",2001,8,"2001-08-17","AHND",2,20,"O",0,0,5,"NO KELP"
"202",2001,8,"2001-08-17","AHND",2,40,"I",6,30,5,NA
"203",2001,8,"2001-08-17","AHND",2,40,"I",7,40,5,NA
"204",2001,8,"2001-08-17","AHND",2,40,"I",7,45,5,NA
"205",2001,8,"2001-08-17","AHND",2,40,"I",9,50,5,NA
"206",2001,8,"2001-08-17","AHND",2,40,"I",14,180,5,NA
"207",2001,8,"2001-08-17","AHND",2,40,"I",20,75,5,NA
"209",2001,8,"2001-08-17","AHND",2,40,"O",4,25,5,NA
"214",2001,8,"2001-08-21","AQUE",1,20,"I",6,10,8,NA
"215",2001,8,"2001-08-21","AQUE",1,20,"I",8,10,8,NA
"219",2001,8,"2001-08-21","AQUE",1,20,"O",4,10,8,NA
"220",2001,8,"2001-08-21","AQUE",1,20,"O",5,10,8,NA
"256",2001,8,"2001-08-21","AQUE",1,20,"O",4,10,8,NA
"257",2001,8,"2001-08-21","AQUE",1,20,"O",4,10,8,NA
"258",2001,8,"2001-08-21","AQUE",1,20,"O",6,10,8,NA
"260",2001,8,"2001-08-21","AQUE",1,40,"I",4,10,8,NA
"261",2001,8,"2001-08-21","AQUE",1,40,"I",6,10,8,NA
"262",2001,8,"2001-08-21","AQUE",1,40,"I",7,10,8,NA
"263",2001,8,"2001-08-21","AQUE",1,40,"I",8,10,8,NA
"274",2001,8,"2001-08-21","AQUE",1,40,"I",4,10,8,NA
"275",2001,8,"2001-08-21","AQUE",1,40,"I",4,10,8,NA
"276",2001,8,"2001-08-21","AQUE",1,40,"I",8,10,8,NA
"277",2001,8,"2001-08-21","AQUE",1,40,"O",5,10,8,NA
"291",2001,8,"2001-08-21","AQUE",2,20,"I",4,8,4,NA
"292",2001,8,"2001-08-21","AQUE",2,20,"I",4,10,4,NA
"293",2001,8,"2001-08-21","AQUE",2,20,"I",5,8,4,NA
"294",2001,8,"2001-08-21","AQUE",2,20,"I",5,9,4,NA
"295",2001,8,"2001-08-21","AQUE",2,20,"I",5,10,4,NA
"296",2001,8,"2001-08-21","AQUE",2,20,"I",5,11,4,NA
"297",2001,8,"2001-08-21","AQUE",2,20,"I",6,7,4,NA
"298",2001,8,"2001-08-21","AQUE",2,20,"I",6,12,4,NA
"299",2001,8,"2001-08-21","AQUE",2,20,"I",6,15,4,NA
"300",2001,8,"2001-08-21","AQUE",2,20,"I",7,10,4,NA
"301",2001,8,"2001-08-21","AQUE",2,20,"I",9,11,4,NA
"317",2001,8,"2001-08-21","AQUE",2,40,"O",4,10,4,NA
"319",2001,8,"2001-08-21","AQUE",3,20,"I",4,18,4,NA
"320",2001,8,"2001-08-21","AQUE",3,20,"I",5,22,4,NA
"334",2001,8,"2001-08-21","AQUE",3,40,"O",4,21,4,NA
"336",2001,8,"2001-08-21","AQUE",4,20,"O",43,15,8,NA
"337",2001,8,"2001-08-21","AQUE",4,20,"O",44,15,8,NA
"338",2001,8,"2001-08-21","AQUE",4,20,"O",52,30,8,NA
"342",2001,8,"2001-08-21","AQUE",5,20,"I",0,0,4,"NO KELP"
"343",2001,8,"2001-08-21","AQUE",5,40,"I",0,0,4,"NO KELP"
"344",2001,8,"2001-08-17","BULL",1,20,"I",0,0,4,"NO KELP"
"349",2001,8,"2001-08-28","BULL",3,20,"I",4,30,3,NA
"353",2001,8,"2001-08-28","BULL",3,20,"O",0,0,3,"NO KELP"
"355",2001,8,"2001-08-28","BULL",3,40,"O",4,16,3,NA
"356",2001,8,"2001-08-28","BULL",3,40,"O",4,33,3,NA
"358",2001,8,"2001-08-17","BULL",6,20,"I",0,0,1,"NO KELP"
"359",2001,8,"2001-08-17","BULL",6,40,"I",0,0,1,"NO KELP"
"361",2001,8,"2001-08-15","CARP",1,20,"I",6,10,1,NA
"362",2001,8,"2001-08-15","CARP",1,20,"I",7,18,1,NA
"363",2001,8,"2001-08-15","CARP",1,20,"I",7,24,1,NA
"364",2001,8,"2001-08-15","CARP",1,20,"I",10,20,1,NA
"365",2001,8,"2001-08-15","CARP",1,20,"I",17,12,1,NA
"366",2001,8,"2001-08-15","CARP",1,20,"I",17,18,1,NA
"373",2001,8,"2001-08-15","CARP",1,40,"I",4,13,1,NA
"374",2001,8,"2001-08-15","CARP",1,40,"I",4,21,1,NA
"375",2001,8,"2001-08-15","CARP",1,40,"I",5,13,1,NA
"376",2001,8,"2001-08-15","CARP",1,40,"I",7,17,1,NA
"377",2001,8,"2001-08-15","CARP",1,40,"I",7,24,1,NA
"378",2001,8,"2001-08-15","CARP",1,40,"I",9,22,1,NA
"379",2001,8,"2001-08-15","CARP",1,40,"I",9,23,1,NA
"380",2001,8,"2001-08-15","CARP",1,40,"I",10,12,1,NA
"381",2001,8,"2001-08-15","CARP",1,40,"I",10,15,1,NA
"382",2001,8,"2001-08-15","CARP",1,40,"I",10,17,1,NA
"383",2001,8,"2001-08-15","CARP",1,40,"I",10,20,1,NA
"384",2001,8,"2001-08-15","CARP",1,40,"I",11,18,1,NA
"385",2001,8,"2001-08-15","CARP",1,40,"I",12,21,1,NA
"386",2001,8,"2001-08-15","CARP",1,40,"I",12,22,1,NA
"387",2001,8,"2001-08-15","CARP",1,40,"I",12,29,1,NA
"388",2001,8,"2001-08-15","CARP",1,40,"I",13,22,1,NA
"389",2001,8,"2001-08-15","CARP",1,40,"I",14,22,1,NA
"390",2001,8,"2001-08-15","CARP",1,40,"I",15,15,1,NA
"391",2001,8,"2001-08-15","CARP",1,40,"I",29,23,1,NA
"399",2001,8,"2001-08-15","CARP",1,40,"I",5,13,1,NA
"400",2001,8,"2001-08-15","CARP",1,40,"I",10,15,1,NA
"401",2001,8,"2001-08-15","CARP",1,40,"O",4,12,1,NA
"402",2001,8,"2001-08-15","CARP",2,20,"I",0,0,4,"NO KELP"
"403",2001,8,"2001-08-15","CARP",2,40,"I",0,0,4,"NO KELP"
"404",2001,8,"2001-08-15","CARP",3,20,"I",0,0,8,"NO KELP"
"405",2001,8,"2001-08-15","CARP",3,40,"I",0,0,8,"NO KELP"
"406",2001,8,"2001-08-15","CARP",4,20,"I",0,0,8,"NO KELP"
"407",2001,8,"2001-08-15","CARP",4,40,"I",0,0,8,"NO KELP"
"408",2001,8,"2001-08-15","CARP",5,20,"I",0,0,8,"NO KELP"
"409",2001,8,"2001-08-15","CARP",5,40,"I",0,0,8,"NO KELP"
"410",2001,8,"2001-08-15","CARP",6,20,"I",0,0,8,"NO KELP"
"411",2001,8,"2001-08-15","CARP",6,40,"I",0,0,8,"NO KELP"
"412",2001,8,"2001-08-15","CARP",7,20,"I",0,0,8,"NO KELP"
"413",2001,8,"2001-08-15","CARP",7,40,"I",0,0,8,"NO KELP"
"414",2001,8,"2001-08-15","CARP",8,20,"I",0,0,4,"NO KELP"
"415",2001,8,"2001-08-15","CARP",8,40,"I",0,0,4,"NO KELP"
"416",2001,8,"2001-08-14","GOLB",1,20,"I",240,100,4,NA
"417",2001,8,"2001-08-14","GOLB",1,20,"O",315,110,4,NA
"419",2001,8,"2001-08-14","GOLB",1,40,"I",64,85,4,NA
"420",2001,8,"2001-08-14","GOLB",1,40,"O",270,105,4,NA
"421",2001,8,"2001-08-14","GOLB",2,20,"I",28,60,1,NA
"422",2001,8,"2001-08-14","GOLB",2,20,"I",107,149,1,NA
"423",2001,8,"2001-08-14","GOLB",2,20,"O",0,0,1,"NO KELP"
"424",2001,8,"2001-08-14","GOLB",2,40,"I",167,167,1,NA
"425",2001,8,"2001-08-14","GOLB",2,40,"I",193,154,1,NA
"426",2001,8,"2001-08-14","GOLB",2,40,"O",0,0,1,"NO KELP"
"438",2001,8,"2001-08-14","IVEE",1,20,"O",4,15,4,NA
"451",2001,8,"2001-08-14","IVEE",1,40,"I",57,170,4,NA
"453",2001,8,"2001-08-14","IVEE",2,20,"O",30,68,1,NA
"454",2001,8,"2001-08-14","IVEE",2,20,"O",101,100,1,NA
"456",2001,8,"2001-08-14","IVEE",2,40,"I",7,20,1,NA
"457",2001,8,"2001-08-14","IVEE",2,40,"I",28,125,1,NA
"470",2001,8,"2001-08-07","MOHK",1,20,"I",14,25,1,NA
"471",2001,8,"2001-08-07","MOHK",1,20,"I",18,21,1,NA
"472",2001,8,"2001-08-07","MOHK",1,20,"I",41,59,1,NA
"473",2001,8,"2001-08-07","MOHK",1,20,"I",58,40,1,NA
"483",2001,8,"2001-08-07","MOHK",1,20,"O",6,12,1,NA
"484",2001,8,"2001-08-07","MOHK",1,20,"O",7,12,1,NA
"485",2001,8,"2001-08-07","MOHK",1,20,"O",12,15,1,NA
"486",2001,8,"2001-08-07","MOHK",1,20,"O",13,32,1,NA
"487",2001,8,"2001-08-07","MOHK",1,20,"O",18,35,1,NA
"488",2001,8,"2001-08-07","MOHK",1,20,"O",21,35,1,NA
"489",2001,8,"2001-08-07","MOHK",1,20,"O",52,43,1,NA
"490",2001,8,"2001-08-07","MOHK",1,20,"O",89,92,1,NA
"494",2001,8,"2001-08-07","MOHK",1,40,"I",16,32,1,NA
"495",2001,8,"2001-08-07","MOHK",1,40,"I",43,34,1,NA
"496",2001,8,"2001-08-07","MOHK",1,40,"I",46,46,1,NA
"497",2001,8,"2001-08-07","MOHK",1,40,"I",48,54,1,NA
"499",2001,8,"2001-08-07","MOHK",1,40,"O",17,37,1,NA
"500",2001,8,"2001-08-07","MOHK",1,40,"O",24,56,1,NA
"501",2001,8,"2001-08-07","MOHK",1,40,"O",29,61,1,NA
"502",2001,8,"2001-08-07","MOHK",1,40,"O",35,61,1,NA
"503",2001,8,"2001-08-07","MOHK",1,40,"O",40,75,1,NA
"504",2001,8,"2001-08-07","MOHK",1,40,"O",42,45,1,NA
"505",2001,8,"2001-08-07","MOHK",1,40,"O",45,60,1,NA
"506",2001,8,"2001-08-07","MOHK",1,40,"O",53,47,1,NA
"507",2001,8,"2001-08-07","MOHK",1,40,"O",59,48,1,NA
"508",2001,8,"2001-08-07","MOHK",1,40,"O",64,53,1,NA
"509",2001,8,"2001-08-07","MOHK",1,40,"O",74,56,1,NA
"516",2001,8,"2001-08-07","MOHK",2,20,"I",13,25,4,NA
"517",2001,8,"2001-08-07","MOHK",2,20,"I",15,17,4,NA
"518",2001,8,"2001-08-07","MOHK",2,20,"I",16,17,4,NA
"519",2001,8,"2001-08-07","MOHK",2,20,"I",17,40,4,NA
"520",2001,8,"2001-08-07","MOHK",2,20,"I",131,100,4,NA
"521",2001,8,"2001-08-07","MOHK",2,20,"O",26,48,4,NA
"522",2001,8,"2001-08-07","MOHK",2,20,"O",27,7,4,NA
"523",2001,8,"2001-08-07","MOHK",2,20,"O",39,37,4,NA
"524",2001,8,"2001-08-07","MOHK",2,20,"O",40,23,4,NA
"525",2001,8,"2001-08-07","MOHK",2,20,"O",40,29,4,NA
"527",2001,8,"2001-08-07","MOHK",2,40,"I",21,17,4,NA
"528",2001,8,"2001-08-07","MOHK",2,40,"I",22,27,4,NA
"529",2001,8,"2001-08-07","MOHK",2,40,"I",23,18,4,NA
"530",2001,8,"2001-08-07","MOHK",2,40,"I",26,30,4,NA
"531",2001,8,"2001-08-07","MOHK",2,40,"I",44,27,4,NA
"532",2001,8,"2001-08-07","MOHK",2,40,"O",12,17,4,NA
"533",2001,8,"2001-08-07","MOHK",2,40,"O",14,14,4,NA
"534",2001,8,"2001-08-07","MOHK",2,40,"O",21,20,4,NA
"535",2001,8,"2001-08-07","MOHK",2,40,"O",51,39,4,NA
"537",2001,8,"2001-08-09","NAPL",1,20,"I",0,0,8,"NO KELP"
"538",2001,8,"2001-08-09","NAPL",1,40,"I",0,0,8,"NO KELP"
"539",2001,8,"2001-08-09","NAPL",2,20,"I",0,0,4,"NO KELP"
"540",2001,8,"2001-08-09","NAPL",2,40,"I",0,0,4,"NO KELP"
"541",2001,8,"2001-08-09","NAPL",3,20,"I",0,0,8,"NO KELP"
"542",2001,8,"2001-08-09","NAPL",3,40,"I",0,0,8,"NO KELP"
"543",2001,8,"2001-08-09","NAPL",4,20,"I",0,0,4,"NO KELP"
"544",2001,8,"2001-08-09","NAPL",4,40,"I",0,0,4,"NO KELP"
"546",2001,8,"2001-08-09","NAPL",5,40,"I",0,0,4,"NO KELP"
"547",2001,8,"2001-08-09","NAPL",6,20,"I",0,0,4,"NO KELP"
"548",2001,8,"2001-08-09","NAPL",6,40,"I",0,0,4,"NO KELP"
"549",2001,8,"2001-08-09","NAPL",7,20,"I",0,0,4,"NO KELP"
"550",2001,8,"2001-08-09","NAPL",7,40,"I",0,0,4,"NO KELP"
"551",2001,8,"2001-08-09","NAPL",8,20,"I",0,0,4,"NO KELP"
"552",2001,8,"2001-08-09","NAPL",8,40,"I",0,0,4,"NO KELP"
"553",2002,8,"2002-08-20","ABUR",1,20,"I",27,52,10,NA
"554",2002,8,"2002-08-20","ABUR",1,20,"I",50,49,10,NA
"555",2002,8,"2002-08-20","ABUR",1,20,"I",121,72,10,NA
"556",2002,8,"2002-08-20","ABUR",1,20,"O",11,34,10,NA
"557",2002,8,"2002-08-20","ABUR",1,20,"O",24,49,10,NA
"558",2002,8,"2002-08-20","ABUR",1,20,"O",28,47,10,NA
"559",2002,8,"2002-08-20","ABUR",1,20,"O",47,74,10,NA
"560",2002,8,"2002-08-20","ABUR",1,20,"O",65,76,10,NA
"561",2002,8,"2002-08-20","ABUR",1,20,"O",99,168,10,NA
"563",2002,8,"2002-08-20","ABUR",1,40,"I",129,58,10,NA
"564",2002,8,"2002-08-20","ABUR",1,40,"O",6,31,10,NA
"565",2002,8,"2002-08-20","ABUR",1,40,"O",24,32,10,NA
"566",2002,8,"2002-08-20","ABUR",1,40,"O",48,54,10,NA
"568",2002,8,"2002-08-20","ABUR",2,20,"O",2,8,19,NA
"569",2002,8,"2002-08-20","ABUR",2,20,"O",2,11,19,NA
"570",2002,8,"2002-08-20","ABUR",2,20,"O",4,13,19,NA
"574",2002,8,"2002-08-20","ABUR",2,40,"I",2,23,19,NA
"575",2002,8,"2002-08-20","ABUR",2,40,"I",3,9,19,NA
"576",2002,8,"2002-08-20","ABUR",2,40,"I",4,11,19,NA
"580",2002,8,"2002-09-26","AHND",1,20,"I",0,0,2,"NO KELP"
"581",2002,8,"2002-09-26","AHND",1,40,"I",0,0,2,"NO KELP"
"583",2002,8,"2002-08-28","AHND",2,20,"I",103,105,10,NA
"585",2002,8,"2002-08-28","AHND",2,20,"O",26,52,10,NA
"586",2002,8,"2002-08-28","AHND",2,20,"O",31,48,10,NA
"590",2002,8,"2002-08-28","AHND",2,40,"I",7,28,10,NA
"591",2002,8,"2002-08-28","AHND",2,40,"I",11,37,10,NA
"592",2002,8,"2002-08-28","AHND",2,40,"I",12,90,10,NA
"593",2002,8,"2002-08-28","AHND",2,40,"I",17,35,10,NA
"594",2002,8,"2002-08-28","AHND",2,40,"I",18,30,10,NA
"595",2002,8,"2002-08-28","AHND",2,40,"I",25,33,10,NA
"596",2002,8,"2002-08-28","AHND",2,40,"I",35,52,10,NA
"597",2002,8,"2002-08-28","AHND",2,40,"I",55,51,10,NA
"598",2002,8,"2002-08-28","AHND",2,40,"O",0,0,10,"NO KELP"
"600",2002,8,"2002-08-27","AQUE",1,20,"I",6,19,10,NA
"601",2002,8,"2002-08-27","AQUE",1,20,"I",6,23,10,NA
"602",2002,8,"2002-08-27","AQUE",1,20,"I",8,25,10,NA
"603",2002,8,"2002-08-27","AQUE",1,20,"I",9,22,10,NA
"604",2002,8,"2002-08-27","AQUE",1,20,"I",10,14,10,NA
"605",2002,8,"2002-08-27","AQUE",1,20,"I",12,22,10,NA
"606",2002,8,"2002-08-27","AQUE",1,20,"I",12,24,10,NA
"607",2002,8,"2002-08-27","AQUE",1,20,"I",13,34,10,NA
"608",2002,8,"2002-08-27","AQUE",1,20,"I",18,26,10,NA
"609",2002,8,"2002-08-27","AQUE",1,20,"I",19,35,10,NA
"610",2002,8,"2002-08-27","AQUE",1,20,"I",23,24,10,NA
"611",2002,8,"2002-08-27","AQUE",1,20,"I",28,23,10,NA
"612",2002,8,"2002-08-27","AQUE",1,20,"I",30,34,10,NA
"613",2002,8,"2002-08-27","AQUE",1,20,"I",31,35,10,NA
"614",2002,8,"2002-08-27","AQUE",1,20,"O",2,10,13,NA
"615",2002,8,"2002-08-27","AQUE",1,20,"O",2,20,13,NA
"616",2002,8,"2002-08-27","AQUE",1,20,"O",4,15,13,NA
"617",2002,8,"2002-08-27","AQUE",1,20,"O",5,20,13,NA
"618",2002,8,"2002-08-27","AQUE",1,20,"O",8,17,13,NA
"619",2002,8,"2002-08-27","AQUE",1,20,"O",12,20,13,NA
"620",2002,8,"2002-08-27","AQUE",1,20,"O",13,20,13,NA
"621",2002,8,"2002-08-27","AQUE",1,20,"O",30,40,13,NA
"622",2002,8,"2002-08-27","AQUE",1,20,"O",43,28,13,NA
"625",2002,8,"2002-08-27","AQUE",1,20,"O",4,15,13,NA
"626",2002,8,"2002-08-27","AQUE",1,40,"I",5,24,10,NA
"627",2002,8,"2002-08-27","AQUE",1,40,"I",7,31,10,NA
"628",2002,8,"2002-08-27","AQUE",1,40,"I",8,24,10,NA
"629",2002,8,"2002-08-27","AQUE",1,40,"I",10,38,10,NA
"630",2002,8,"2002-08-27","AQUE",1,40,"I",17,42,10,NA
"631",2002,8,"2002-08-27","AQUE",1,40,"I",18,26,10,NA
"632",2002,8,"2002-08-27","AQUE",1,40,"I",23,35,10,NA
"633",2002,8,"2002-08-27","AQUE",1,40,"I",23,37,10,NA
"634",2002,8,"2002-08-27","AQUE",1,40,"I",24,44,10,NA
"635",2002,8,"2002-08-27","AQUE",1,40,"I",26,35,10,NA
"636",2002,8,"2002-08-27","AQUE",1,40,"I",26,36,10,NA
"637",2002,8,"2002-08-27","AQUE",1,40,"I",26,44,10,NA
"638",2002,8,"2002-08-27","AQUE",1,40,"I",33,34,10,NA
"639",2002,8,"2002-08-27","AQUE",1,40,"I",36,46,10,NA
"640",2002,8,"2002-08-27","AQUE",1,40,"I",50,48,10,NA
"641",2002,8,"2002-08-27","AQUE",1,40,"I",70,32,10,NA
"642",2002,8,"2002-08-27","AQUE",1,40,"O",9,25,10,NA
